iter	Passed	Remaining
552	69022	180606
553	69148	180484
554	69265	180340
555	69390	180216
556	69519	180102
557	69652	179996
558	69834	180020
559	70008	180022
560	70175	180004
561	70314	179915
562	70430	179766
563	70545	179616
564	70668	179484
565	70805	179391
566	70926	179255
567	71052	179133
568	71127	178881
569	71261	178778
570	71382	178643
571	71453	178383
572	71563	178222
573	71681	178079
574	71804	177950
575	71877	177696
576	72001	177569
577	72129	177452
578	72254	177329
579	72387	177224
580	72509	177091
581	72634	176968
582	72762	176852
583	72868	176682
584	72999	176572
585	73086	176354
586	73230	176276
587	73332	176097
588	73411	175863
589	73533	175732
590	73652	175594
591	73789	175499
592	73921	175391
593	74047	175271
594	74180	175165
595	74303	175036
596	74435	174930
597	74577	174846
598	74713	174746
599	74835	174617
600	74904	174361
601	74961	174079
602	75092	173969
603	75212	173835
604	75331	173697
605	75448	173555
606	75566	173416
607	75696	173305
608	75832	173206
609	75956	173082
610	76141	173094
611	76289	173022
612	76418	172907
613	76486	172654
614	76626	172565
615	76753	172446
616	76874	172313
617	77001	172194
618	77126	172069
619	77247	171937
620	77362	171791
621	77478	171648
622	77592	171501
623	77724	171391
624	77838	171245
625	77953	171099
626	78075	170968
627	78196	170837
628	78326	170724
629	78450	170599
630	78576	170477
631	78691	170331
632	78811	170198
633	78935	170072
634	78996	169811
635	79110	169665
636	79226	169522
637	79298	169285
638	79419	169154
639	79548	169040
640	79672	168915
641	79784	168765
642	79901	168625
643	79968	168380
644	80033	168131
645	80149	167991
646	80265	167850
647	80384	167715
648	80504	167583
649	80577	167353
650	80709	167246
651	80831	167117
652	80957	166998
653	81104	166922
654	81222	166785
655	81336	166640
656	81453	166502
657	81569	166362
658	81687	166226
659	81758	165994
660	81823	165752
661	81906	165545
662	81989	165339
663	82067	165122
664	82185	164988
665	82261	164770
666	82373	164622
667	82491	164489
668	82660	164455
669	82869	164502
670	83062	164516
671	83264	164547
672	83485	164613
673	83705	164678
674	83912	164717
675	84150	164814
676	84349	164836
677	84535	164831
678	84748	164878
679	84967	164936
680	85185	164991
681	85488	165211
682	85784	165414
683	86085	165626
684	86360	165786
685	86621	165919
686	86901	166086
687	87169	166230
688	87393	166289
689	87588	166290
690	87799	166323
691	88037	166405
692	88302	166538
693	88524	166589
