iter	Logloss
1390	0.4840680228
1395	0.4838369534
1400	0.4836537345
1405	0.4836344653
1410	0.4832946336
1415	0.4830950481
1420	0.4829774171
1425	0.48285124
1430	0.4826547181
1435	0.4824349765
1440	0.4824349361
1445	0.4824316305
1450	0.4824043795
1455	0.4822827577
1460	0.4820919601
1465	0.4820919198
1470	0.4818562951
1475	0.481517955
1480	0.481376419
1485	0.4813708559
1490	0.4813652122
1495	0.481251814
1500	0.481161676
1505	0.4811402299
1510	0.4809563661
1515	0.480859375
1520	0.4807575061
1525	0.4805800922
1530	0.4805006772
1535	0.4802493711
1540	0.4801818885
1545	0.4800445853
1550	0.4799567853
1555	0.4796460994
1560	0.4795240744
1565	0.4795186323
1570	0.4793644382
1575	0.4791813403
1580	0.4790416183
1585	0.4790387561
1590	0.4790387561
1595	0.4789791344
1600	0.478919029
1605	0.4789190693
1610	0.4788173213
1615	0.4788148623
1620	0.4786811871
1625	0.4786811871
1630	0.4786511949
1635	0.4786486955
1640	0.4782922149
1645	0.4781550729
1650	0.478151606
1655	0.478151606
1660	0.478142173
1665	0.4781392302
1670	0.4778190306
1675	0.4775230586
1680	0.477482182
1685	0.4771926196
1690	0.477064306
1695	0.4769274058
1700	0.4769084591
1705	0.4768720975
1710	0.4768720975
1715	0.476564435
1720	0.4763676712
1725	0.4762447594
1730	0.4762300858
1735	0.4761189048
1740	0.4761040699
1745	0.475725982
1750	0.4756072626
1755	0.475537321
1760	0.4754355731
1765	0.4753751048
1770	0.4753750645
1775	0.4749842379
1780	0.4749840767
1785	0.4749839961
1790	0.4749840767
1795	0.4748668489
1800	0.4748667279
1805	0.4747376483
1810	0.4747366405
1815	0.4746181631
1820	0.4744386932
1825	0.4743395253
1830	0.4743395656
1835	0.4743395253
1840	0.4742621662
1845	0.474191378
1850	0.4740254934
1855	0.4739531331
1860	0.4738567466
1865	0.4735704092
1870	0.4734270591
1875	0.473284999
1880	0.4730587671
1885	0.472805526
1890	0.4726367389
1895	0.472636497
1900	0.4725567999
1905	0.4724634369
1910	0.472463074
1915	0.4724161507
1920	0.4723653976
1925	0.4722638513
1930	0.47218492
1935	0.4721850006
1940	0.4719998871
1945	0.4719113616
1950	0.4719026945
1955	0.4719001145
1960	0.4718238035
1965	0.4717706721
1970	0.4716390125
1975	0.4714613971
1980	0.4714521253
1985	0.471432856
1990	0.471315346
1995	0.4713153864
1999	0.4713153864
